"","year","quarter","state","satisfy_mean","growth","gdp","unemp_rate","inflation"
"1",2005,1,1,3.38970588235294,-0.0155974756926298,-3.52502846717834,0.0439999997615814,0.00612532766535878
"2",2005,2,1,3.35180722891566,0.00358628015965223,-3.52144861221313,0.0359999984502792,0.0134516106918454
"3",2005,3,1,3.30649350649351,0.00275729759596288,-3.51869511604309,0.0386666655540466,0.0119572496041656
"4",2005,4,1,3.41073825503356,0.0145391235128045,-3.50426054000854,0.034000001847744,0.00525772850960493
"5",2006,1,1,3.39101717305152,0.00270677939988673,-3.50155758857727,0.0363333337008953,0.00539906043559313
"6",2006,2,1,3.42565597667638,0.0024675561580807,-3.4990930557251,0.0329999998211861,0.0168372485786676
"7",2006,3,1,3.36796536796537,0.00517735816538334,-3.49392890930176,0.0370000004768372,0.00583124253898859
"8",2006,4,1,3.38765182186235,0.0198680385947227,-3.47425580024719,0.0316666662693024,-0.00858677364885807
"9",2007,1,1,3.34262191260291,-0.0016995610203594,-3.4759566783905,0.0343333333730698,0.0101434262469411
"10",2007,2,1,3.37203791469194,-0.00994140189141035,-3.48594784736633,0.0309999994933605,0.019170643761754
"11",2007,3,1,3.37643020594966,0.0067091123200953,-3.47926115989685,0.0370000004768372,0.0027596449945122
"12",2007,4,1,3.37602179836512,0.00796697568148375,-3.47132587432861,0.0343333333730698,0.00711309630423784
"13",2008,1,1,3.39578163771712,0.00860858429223299,-3.46275401115417,0.040999997407198,0.011368015781045
"14",2008,2,1,3.35703001579779,-0.000804643961600959,-3.46355891227722,0.0430000014603138,0.0219539888203144
"15",2008,3,1,3.38097855964816,-0.0251009613275528,-3.48898029327393,0.0536666661500931,0.0116293942555785
"16",2008,4,1,3.38696808510638,0.0171831101179123,-3.47194314002991,0.0610000006854534,-0.0282830931246281
"17",2009,1,1,3.37988826815642,-0.0266705099493265,-3.49897575378418,0.0900000035762787,-0.004977454431355
